Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Hippocamp*,Inferior temporal,0,184,6615,6799,0
"(""Inferior olive"" OR ""Inferior olivary"")",Temporoparietal,0,834,1460,2294,0
(Inferior AND collicul*),Lateral geniculate,398,80935,5437,86372,0.004607975
Insula*,(Superior AND collicul*),636,2474,171691,174165,0.00365171
Diagonal band of Broca,Olfactory bulb,72,836,11197,12033,0.005983545
"(""Medial dorsal"" AND nucl*)",Olfactory bulb,0,1,11269,11270,0
(Intralaminar AND (nuclei OR nucleus)),Primary sensory,16,760,11590,12350,0.001295547
Medial frontal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",4,5874,139,6013,0.000665225
Parahippocamp*,Posterior parietal,0,0,5714,5714,0
Pineal,"(""Straight gyrus"" OR ""gyrus rectus"")",0,14403,2,14405,0
Nucleus basalis,Temporoparietal,4,2326,1456,3782,0.001057641
Piriform cortex,(Septal AND (nuclei OR nucleus)),69,2001,2344,4345,0.015880322
Operculum,Piriform cortex,4,922,2066,2988,0.001338688
"(""Posterior nucleus"" AND hypothalamus)","(""Red nucleus"")",43,2697,4455,7152,0.006012304
Orbitofrontal,Paracentral lobule,3,2993,64,3057,0.000981354
Pons,Stria terminalis,117,17436,2618,20054,0.005834248
Primary sensory,Superior frontal,66,11540,4889,16429,0.004017287
Perirhinal,(Superior AND collicul*),72,1128,172255,173383,0.000415266
Primary motor,Substantia nigra,170,14569,19219,33788,0.005031372
"(""Red nucleus"")","(""Ventral posterolateral"" AND (nuclei OR nucleus))",4,4494,139,4633,0.000863371
Putamen,Zona incerta,142,10607,2778,13385,0.010608891
Prefrontal,Primary sensory,263,23838,11343,35181,0.007475626
Caudate,"(""Gustatory cortex"" OR ""gustatory area"")",0,18801,69,18870,0
Ambiguus,Amygdala,41,1175,23316,24491,0.001674084
Ambiguus,Superior temporal,3,1213,8958,10171,0.000294956
Amygdala,Zona incerta,164,23193,2756,25949,0.006320089
Cingulum,Entorhinal,17,668,5530,6198,0.00274282
Angular gyrus,"(""Red nucleus"")",0,641,4498,5139,0
Anterior cingulate,"(""Ventral anterior"" AND (nuclei OR nucleus))",165,6608,1293,7901,0.020883432
Infralimbic,Precuneus,0,496,1220,1716,0
Infralimbic,Primary motor,9,487,14730,15217,0.000591444
(Dorsomedial AND hypothal*),Middle temporal,0,0,37423,37423,0
Anterior cingulate,Wernicke's area,778,5995,40123,46118,0.016869769
Entorhinal,Visual cortex,324,5223,38929,44152,0.007338286
Cerebellum,Interstitial nucleus,91,56792,1948,58740,0.0015492
Fusiform,Stria terminalis,19,5436,2716,8152,0.002330716
Cingulum,Claustrum,4,681,851,1532,0.002610966
Fusiform,Zona incerta,14,5441,2906,8347,0.001677249
(Cochlear AND (nuclei OR nucleus)),Orbitofrontal,0,4427,2996,7423,0
Diagonal band of Broca,Indusium griseum,4,904,73,977,0.004094166
(Cochlear AND (nuclei OR nucleus)),Primary sensory,42,4385,11564,15949,0.002633394
Hypothalam*,Interstitial nucleus,0,3,2039,2042,0
Inferior parietal lobule,Posterior cingulate,125,791,2800,3591,0.034809245
Inferior parietal lobule,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",2,914,141,1055,0.001895735
Lingual gyrus,Medial geniculate,1,432,1861,2293,0.00043611
Indusium griseum,Supplementary motor,0,77,2774,2851,0
"(""Inferior olive"" OR ""Inferior olivary"")","(""Posterior nucleus"" AND hypothalamus)",8,826,2732,3558,0.002248454
Inferior frontal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,5122,143,5265,0
Inferior temporal,Thalamus,407,6208,32133,38341,0.010615268
Medial geniculate,"(Medulla OR ""medulla oblongata"")",101,1761,22464,24225,0.004169247
Middle frontal,Suprachiasmatic,7,20465,6019,26484,0.000264311
Middle frontal,Ventromedial prefrontal,71,20401,693,21094,0.003365886
Middle temporal,"(""Posterior nucleus"" AND hypothalamus)",11,37412,2729,40141,0.000274034
Nucleus accumbens,(Septal AND (nuclei OR nucleus)),974,11833,1439,13272,0.073387583
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Posterior cingulate,0,6,2925,2931,0
"(""Mammillary body"" OR ""Mammillary bodies)","(""Superior olive"" OR ""superior olivary"")",0,0,514,514,0
Pineal,"(""Ventral anterior"" AND (nuclei OR nucleus))",9,14394,1449,15843,0.000568074
Nucleus basalis,Primary motor,20,2310,14719,17029,0.001174467
(Periventricular AND (nuclei OR nucleus)),"(""Ventral posteromedial"" AND (nuclei OR nucleus))",8,1066,135,1201,0.006661116
Primary auditory,Thalamus,281,5105,32259,37364,0.007520608
(Septal AND (nuclei OR nucleus)),Striatum,338,2075,44410,46485,0.007271163
Pulvinar,"(""Superior olive"" OR ""superior olivary"")",3,1130,511,1641,0.001828154
Pulvinar,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",6,1127,137,1264,0.004746835
Calcarine fissure,Substantia nigra,0,120,19389,19509,0
"(""Centromedian"" AND (nuclei OR nucleus))",Indusium griseum,0,143,77,220,0
Caudate,Fusiform,66,18735,5389,24124,0.002735865
Anterior cingulate,Diagonal band of Broca,29,6744,879,7623,0.003804277
Anterior cingulate,Subthalam*,0,6773,0,6773,0
Infralimbic,Primary sensory,8,488,11598,12086,0.000661923
Cingulum,Operculum,5,680,921,1601,0.003123048
Infralimbic,"(""Superior olive"" OR ""superior olivary"")",0,496,514,1010,0
Infralimbic,(Superior AND collicul*),15,481,172312,172793,8.68E-05
Claustrum,Stria terminalis,54,801,2681,3482,0.015508329
(Dorsomedial AND hypothal*),"(""Inferior olive"" OR ""Inferior olivary"")",0,0,834,834,0
Entorhinal,Insula*,52,5495,3058,8553,0.006079738
Fusiform,Insula*,129,5326,2981,8307,0.015529072
Calcarine fissure,periaqueductal,0,120,4576,4696,0
"(""Centromedian"" AND (nuclei OR nucleus))","(""Mammillary body"" OR ""Mammillary bodies)",0,143,0,143,0
Cingulate,"(""Locus coeruleus"" OR ""locus ceruleus"")",74,11030,3234,14264,0.005187886
Dorsolateral prefrontal,Medial geniculate,3,3609,1859,5468,0.000548647
Cerebellum,Inferior frontal,503,56380,4619,60999,0.008246037
Diagonal band of Broca,Piriform cortex,25,883,2045,2928,0.008538251
Hippocamp*,Subgranular,0,184,632,816,0
Hypothalam*,periaqueductal,0,3,4576,4579,0
(Inferior AND collicul*),Pons,859,80474,16694,97168,0.008840359
Indusium griseum,(Septal AND (nuclei OR nucleus)),4,73,2409,2482,0.001611604
(Inferior AND collicul*),"(""Superior olive"" OR ""superior olivary"")",225,81108,289,81397,0.00276423
Inferior parietal lobule,Superior frontal,287,629,4668,5297,0.054181612
Insula*,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,3110,8,3118,0
Lingual gyrus,Nucleus accumbens,1,432,12806,13238,7.55E-05
Interstitial nucleus,(Raphe AND (nuclei OR nucleus)),73,1966,4312,6278,0.011627907
Lingual gyrus,"(""Ventral posterior"" AND (nuclei OR nucleus))",0,433,1478,1911,0
Lingual gyrus,Primary sensory,10,423,11596,12019,0.000832016
Interstitial nucleus,Suprachiasmatic,15,2024,6011,8035,0.001866833
"(""Medial dorsal"" AND nucl*)",Putamen,0,1,10749,10750,0
Middle temporal,(Raphe AND (nuclei OR nucleus)),8,37415,4377,41792,0.000191424
Medial geniculate,Temporoparietal,2,1860,1458,3318,0.000602773
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Subgranular,0,6,632,638,0
"(""Locus coeruleus"" OR ""locus ceruleus"")",periaqueductal,192,3116,4384,7500,0.0256
Medial geniculate,Primary sensory,70,1792,11536,13328,0.005252101
"(""Locus coeruleus"" OR ""locus ceruleus"")",Ventromedial prefrontal,5,3303,759,4062,0.001230921
"(""Locus coeruleus"" OR ""locus ceruleus"")",Substantia nigra,390,2918,18999,21917,0.017794406
Paracentral lobule,Wernicke's area,10,57,40891,40948,0.000244212
Nucleus accumbens,Subthalam*,0,12807,0,12807,0
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Pons,0,6,17553,17559,0
"(""Posterior nucleus"" AND hypothalamus)",(Superior AND collicul*),211,2529,172116,174645,0.001208165
Primary sensory,Putamen,66,11540,10683,22223,0.002969896
Orbitofrontal,Pineal,1,2995,14402,17397,5.75E-05
Primary sensory,(Raphe AND (nuclei OR nucleus)),34,11572,4351,15923,0.002135276
Posterior cingulate,Visual cortex,487,2438,38766,41204,0.011819241
Primary sensory,Substantia nigra,49,11557,19340,30897,0.001585914
"(""Straight gyrus"" OR ""gyrus rectus"")",Subgranular,0,2,632,634,0
"(""Red nucleus"")",Wernicke's area,28,4470,40873,45343,0.000617515
Pulvinar,"(""Straight gyrus"" OR ""gyrus rectus"")",0,1133,2,1135,0
Thalamic reticular,Visual extrastriate,10,3701,1524,5225,0.001913876
Precuneus,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,1220,143,1363,0
Ventromedial prefrontal,Visual extrastriate,2,762,1532,2294,0.00087184
Caudate,"(""Mammillary body"" OR ""Mammillary bodies)",5,18796,1,18797,0.000266
Subthalam*,Thalamic reticular,0,0,3711,3711,0
Calcarine fissure,Primary auditory,3,117,5383,5500,0.000545455
"(""Ventral posterior"" AND (nuclei OR nucleus))","(""Ventral posteromedial"" AND (nuclei OR nucleus))",61,1417,82,1499,0.040693796
"(""Red nucleus"")",Subiculum,10,4488,1870,6358,0.001572822
Ambiguus,"(""Heschl's gyrus"" OR ""Transverse temporal"")",0,1216,6,1222,0
Amygdala,(Raphe AND (nuclei OR nucleus)),443,22914,3942,26856,0.016495383
Cingulum,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,685,143,828,0
Cingulum,(Inferior AND collicul*),100,585,81233,81818,0.001222225
Amygdala,"(""Ventral anterior"" AND (nuclei OR nucleus))",314,23043,1144,24187,0.012982181
Broca's area,Claustrum,106,52317,749,53066,0.001997513
Dorsolateral prefrontal,(Inferior AND collicul*),519,3093,80814,83907,0.00618542
"(""Centromedian"" AND (nuclei OR nucleus))",Suprachiasmatic,1,142,6025,6167,0.000162153
Cingulate,Zona incerta,66,11038,2854,13892,0.004750936
Globus pallidus,(Superior AND collicul*),322,7784,172005,179789,0.001790988
(Cochlear AND (nuclei OR nucleus)),Subiculum,10,4417,1870,6287,0.001590584
(Cochlear AND (nuclei OR nucleus)),(Septal AND (nuclei OR nucleus)),25,4402,2388,6790,0.003681885
"(""Gustatory cortex"" OR ""gustatory area"")",(Inferior AND collicul*),3,66,81330,81396,3.69E-05
Fusiform,periaqueductal,30,5425,4546,9971,0.003008725
Hippocamp*,"(""Ventral anterior"" AND (nuclei OR nucleus))",0,184,1458,1642,0
(Inferior AND collicul*),Precuneus,416,80917,804,81721,0.005090491
Inferior parietal lobule,Subiculum,4,912,1876,2788,0.00143472
Inferior parietal lobule,Zona incerta,3,913,2917,3830,0.00078329
(Intralaminar AND (nuclei OR nucleus)),Premotor,20,756,4709,5465,0.003659652
Inferior temporal,"(""Ventral posterior"" AND (nuclei OR nucleus))",17,6598,1461,8059,0.002109443
Medial geniculate,(Periventricular AND (nuclei OR nucleus)),36,1826,1038,2864,0.012569832
(Intralaminar AND (nuclei OR nucleus)),"(""Ventral posterior"" AND (nuclei OR nucleus))",150,626,1328,1954,0.076765609
Olfactory bulb,Parahippocamp*,0,11269,0,11269,0
Piriform cortex,Primary auditory,6,2064,5380,7444,0.000806018
Nucleus basalis,Piriform cortex,19,2311,2051,4362,0.0043558
Posterior parahippocampal gyrus,Posterior parietal,174,315,5540,5855,0.02971819
Primary auditory,Temporoparietal,13,5373,1447,6820,0.001906158
Primary auditory,Pulvinar,18,5368,1115,6483,0.002776492
Pontine nuclei,"(""Ventral posterior"" AND (nuclei OR nucleus))",264,7444,1214,8658,0.03049203
Suprachiasmatic,Thalamic reticular,70,5956,3641,9597,0.007293946
Precuneus,Ventral tegmentum,1,1219,4825,6044,0.000165453
Subthalam*,Visual extrastriate,0,0,1534,1534,0
(Raphe AND (nuclei OR nucleus)),Superior frontal,35,4350,4920,9270,0.00377562
"(""Red nucleus"")",(Superior AND collicul*),334,4164,171993,176157,0.001896036
Caudate,Claustrum,197,18604,658,19262,0.010227391
Angular gyrus,Posterior parietal,131,510,5583,6093,0.021500082
Claustrum,Inferior temporal,44,811,6571,7382,0.005960444
(Cochlear AND (nuclei OR nucleus)),"(""Gustatory cortex"" OR ""gustatory area"")",0,4427,69,4496,0
Caudate,Pontine nuclei,271,18530,7437,25967,0.010436323
Cerebellum,Operculum,51,56832,875,57707,0.000883775
Cingulate,(Intralaminar AND (nuclei OR nucleus)),53,11051,723,11774,0.004501444
Cerebellum,Indusium griseum,5,56878,72,56950,8.78E-05
Cingulate,Hippocamp*,0,11104,184,11288,0
Cingulate,Superior temporal,891,10213,8070,18283,0.048733796
Fusiform,"(""Ventral anterior"" AND (nuclei OR nucleus))",22,5433,1436,6869,0.003202795
(Cochlear AND (nuclei OR nucleus)),Pons,287,4140,17266,21406,0.013407456
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Superior olive"" OR ""superior olivary"")",0,6,514,520,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Medial dorsal"" AND nucl*)",0,6,1,7,0
Inferior frontal,Inferior parietal lobule,466,4656,450,5106,0.091265178
"(""Inferior olive"" OR ""Inferior olivary"")",Perirhinal,1,833,1199,2032,0.000492126
Insula*,Thalamic reticular,11,3099,3700,6799,0.001617885
"(""Inferior olive"" OR ""Inferior olivary"")",Pineal,4,830,14399,15229,0.000262657
Interstitial nucleus,"(""Straight gyrus"" OR ""gyrus rectus"")",0,2039,2,2041,0
"(""Medial dorsal"" AND nucl*)",Premotor,0,1,4729,4730,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Posterior cingulate,0,6,2925,2931,0
Middle frontal,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,20472,6,20478,0
Middle temporal,Postcentral gyrus,136,37287,488,37775,0.003600265
Lateral geniculate,"(""Medial dorsal"" AND nucl*)",1,5834,0,5834,0.000171409
"(""Mammillary body"" OR ""Mammillary bodies)","(""Red nucleus"")",0,0,4497,4497,0
"(""Nucleus gracilis"" OR ""gracile nucleus"")","(""Ventral anterior"" AND (nuclei OR nucleus))",0,6,1458,1464,0
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Ventromedial prefrontal,0,6,764,770,0
"(""Mammillary body"" OR ""Mammillary bodies)",Visual extrastriate,0,0,1534,1534,0
Orbitofrontal,Temporoparietal,24,2972,1436,4408,0.005444646
"(""Nucleus gracilis"" OR ""gracile nucleus"")","(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,6,143,149,0
Pons,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",16,17537,127,17664,0.000905797
Operculum,"(""Straight gyrus"" OR ""gyrus rectus"")",0,926,2,928,0
Stria terminalis,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",9,2726,134,2860,0.003146853
Pontine nuclei,Posterior parietal,54,7654,5660,13314,0.004055881
Premotor,Supplementary motor,798,3931,1976,5907,0.135093956
Putamen,(Raphe AND (nuclei OR nucleus)),155,10594,4230,14824,0.010456017
Pulvinar,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",5,1128,138,1266,0.003949447
Caudate,(Inferior AND collicul*),772,18029,80561,98590,0.007830409
Ambiguus,Orbitofrontal,0,1216,2996,4212,0
Cingulum,Lateral geniculate,3,682,5832,6514,0.000460547
Claustrum,periaqueductal,40,815,4536,5351,0.007475238
Infralimbic,(Septal AND (nuclei OR nucleus)),34,462,2379,2841,0.011967617
Entorhinal,"(""Ventral posterior"" AND (nuclei OR nucleus))",52,5495,1426,6921,0.007513365
Entorhinal,Precuneus,24,5523,1196,6719,0.00357196
Broca's area,Pineal,58,52365,14345,66710,0.000869435
Cerebellum,Posterior cingulate,321,56562,2604,59166,0.005425413
Dorsolateral prefrontal,Indusium griseum,0,3612,77,3689,0
(Inferior AND collicul*),(Intralaminar AND (nuclei OR nucleus)),63,81270,713,81983,0.000768452
Hippocamp*,Indusium griseum,0,184,77,261,0
Diagonal band of Broca,"(""Ventral posterior"" AND (nuclei OR nucleus))",28,880,1450,2330,0.012017167
Inferior parietal lobule,Nucleus basalis,5,911,2325,3236,0.001545117
Inferior parietal lobule,Medial geniculate,5,911,1857,2768,0.001806358
Inferior parietal lobule,Lingual gyrus,41,875,392,1267,0.032359905
Insula*,Subiculum,10,3100,1870,4970,0.002012072
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Inferior olive"" OR ""Inferior olivary"")",0,6,834,840,0
Inferior parietal lobule,Subthalam*,0,916,0,916,0
Interstitial nucleus,Pineal,22,2017,14381,16398,0.001341627
Medial frontal,Nucleus basalis,77,5801,2253,8054,0.009560467
Medial geniculate,Pineal,19,1843,14384,16227,0.001170888
Medial geniculate,Primary auditory,226,1636,5160,6796,0.033254856
Medial geniculate,(Raphe AND (nuclei OR nucleus)),73,1789,4312,6101,0.011965252
Orbitofrontal,Striatum,327,2669,44421,47090,0.00694415
Olfactory bulb,Stria terminalis,180,11089,2555,13644,0.013192612
Paracentral lobule,Superior temporal,15,52,8946,8998,0.001667037
Medial geniculate,"(""Superior olive"" OR ""superior olivary"")",47,1815,467,2282,0.020595968
periaqueductal,Posterior parahippocampal gyrus,2,4574,487,5061,0.000395179
Piriform cortex,(Raphe AND (nuclei OR nucleus)),59,2011,4326,6337,0.009310399
Postcentral gyrus,Wernicke's area,105,519,40796,41315,0.00254145
"(""Posterior nucleus"" AND hypothalamus)",Supplementary motor,8,2732,2766,5498,0.001455075
Piriform cortex,Thalamus,265,1805,32275,34080,0.007775822
Perirhinal,Pineal,1,1199,14402,15601,6.41E-05
Posterior parietal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",3,5711,140,5851,0.000512733
"(""Red nucleus"")",Ventromedial prefrontal,3,4495,761,5256,0.000570776
Precuneus,Suprachiasmatic,0,1220,6026,7246,0
Stria terminalis,Ventral tegmentum,84,2651,4742,7393,0.011362099
Subiculum,(Superior AND collicul*),108,1772,172219,173991,0.000620722
"(""Ventral posterior"" AND (nuclei OR nucleus))",Ventral tegmentum,197,1281,4629,5910,0.033333333
Ventral tegmentum,Zona incerta,109,4717,2811,7528,0.014479277
"(""Centromedian"" AND (nuclei OR nucleus))",Prefrontal,6,137,24095,24232,0.000247606
Angular gyrus,Hypothalam*,0,641,3,644,0
Amygdala,Entorhinal,915,22442,4632,27074,0.033796262
Amygdala,Posterior parahippocampal gyrus,93,23264,396,23660,0.003930685
Anterior cingulate,Nucleus basalis,21,6752,2309,9061,0.002317625
Claustrum,(Superior AND collicul*),147,708,172180,172888,0.000850261
"(""Centromedian"" AND (nuclei OR nucleus))",Medial geniculate,9,134,1853,1987,0.004529441
Globus pallidus,Infralimbic,11,8095,485,8580,0.001282051
Dentate gyrus,(Raphe AND (nuclei OR nucleus)),96,11861,4289,16150,0.005944272
Hippocamp*,Posterior parahippocampal gyrus,0,184,489,673,0
Hippocamp*,Supplementary motor,0,184,2774,2958,0
Hypothalam*,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,3,6,9,0
Hippocamp*,Piriform cortex,0,184,2070,2254,0
Inferior parietal lobule,Primary sensory,19,897,11587,12484,0.001521948
"(""Inferior olive"" OR ""Inferior olivary"")",Posterior parietal,1,833,5713,6546,0.000152765
"(""Medial dorsal"" AND nucl*)","(""Ventral posterior"" AND (nuclei OR nucleus))",0,1,1478,1479,0
Middle frontal,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,20472,143,20615,0
Middle temporal,Pons,220,37203,17333,54536,0.004034033
"(""Nucleus gracilis"" OR ""gracile nucleus"")",Wernicke's area,0,6,40901,40907,0
Paracentral lobule,Posterior parietal,13,54,5701,5755,0.002258905
"(""Medial dorsal"" AND nucl*)",Middle frontal,0,1,20472,20473,0
Middle temporal,Subthalam*,0,37423,0,37423,0
Olfactory bulb,"(""Ventral posterior"" AND (nuclei OR nucleus))",84,11185,1394,12579,0.006677796
Paracentral lobule,Postcentral gyrus,9,58,615,673,0.013372957
Parahippocamp*,Zona incerta,0,0,2920,2920,0
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")","(""Posterior nucleus"" AND hypothalamus)",0,8,2740,2748,0
Piriform cortex,Primary motor,23,2047,14716,16763,0.001372069
Operculum,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",0,926,143,1069,0
Pons,Premotor,116,17437,4613,22050,0.005260771
Perirhinal,Premotor,14,1186,4715,5901,0.002372479
Posterior cingulate,Supplementary motor,193,2732,2581,5313,0.036325993
Posterior parahippocampal gyrus,Temporoparietal,9,480,1451,1931,0.004660798
(Periventricular AND (nuclei OR nucleus)),Postcentral gyrus,0,1074,624,1698,0
"(""Red nucleus"")",Visual extrastriate,0,4498,1534,6032,0
Postcentral gyrus,Subiculum,1,623,1879,2502,0.00039968
Subiculum,Wernicke's area,345,1535,40556,42091,0.008196527
"(""Ventral posteromedial"" AND (nuclei OR nucleus))",Visual cortex,7,136,39246,39382,0.000177746
Prefrontal,Ventral tegmentum,438,23663,4388,28051,0.015614417
Ventral tegmentum,Ventromedial prefrontal,13,4813,751,5564,0.002336449
(Raphe AND (nuclei OR nucleus)),Ventral tegmentum,260,4125,4566,8691,0.029916005
Prefrontal,Premotor,973,23128,3756,26884,0.036192531
Angular gyrus,Primary sensory,5,636,11601,12237,0.000408597
Infralimbic,Posterior parahippocampal gyrus,3,493,486,979,0.003064351
Cingulum,Subgranular,1,684,631,1315,0.000760456
Infralimbic,Pulvinar,1,495,1132,1627,0.000614628
